rank,company,city,location,phone,category,lead_score,priority,ml_cluster,source,profile_url
11,Shalom Group Of Companies Established: 2011 | More Info,Dubai,"Shalom Group Of Companies Established: 2011 | More Info Location : Office 220, Abdullah Saeed Belhab Building, Damascus Street, Al Qusais City : Dubai P.O Box : 123266 Phone : 04 32... 04 3263536 Mobile : 052 1 ... 052 1039393 , 058 1 058 1223900 Products & Services : Electromechanical Contractors , MEP Contractors , Fitout Contractors , Read More...",43263536.0,MEP,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/shalom-group-of-companies-101366?p=U2FsdGVkX19mdYPF4c8cVkxmSHMrq%252B6Ul4xU2ZOCoArkkb8z9701TdnO5hC6M6Yw
12,Asset Electromechanical LLC OPC More Info,Abu Dhabi,"Asset Electromechanical LLC OPC More Info Location : Opp Smartline Cash and Carry, Plot 57, Mussafah 33 City : Abu Dhabi Phone : 055 9... 055 9810221 Mobile : 056 9 ... 056 9620204 , 055 6 055 6601455 Products & Services : Electromechanical Contractors , Electromechanical , Cold Room Maintenance , Read More...",559810221.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/asset-electromechanical-llc-opc-196572?p=U2FsdGVkX1%252FOpxjlmAIGdjeUrRaJFbnMTohr89TLmFuP2quh599z4NYSDGGIwO78
13,Elite Energy Electromechanical LLC SPC More Info,Abu Dhabi,"Elite Energy Electromechanical LLC SPC More Info Location : 10th Floor, Mazyad Tower 1, Mazyad Mall, Musaffa City : Abu Dhabi Mobile : 058 5 ... 058 5772599 Products & Services : Electromechanical Contractors , Electrical Contractors , HVAC Contractors , Read More...",585772599.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors,/elite-energy-electromechanical-llc-spc-201133?p=U2FsdGVkX1%252B3Nd3Z%252FNvMLxM7P371NcZZPTXhEraHiAA31Wx0Ck04Mi4adRcMk3%252F3
14,Capricorn General Maintenance More Info,Abu Dhabi,"Capricorn General Maintenance More Info Location : Office 34, Mazyad Mall Business Center, Tower 1, Musaffah City : Abu Dhabi Mobile : 050 5 ... 050 5071276 Products & Services : Electromechanical Contractors , MEP Contractors , HVAC Contractors , Read More...",505071276.0,MEP,100.0,HIGH,2,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/capricorn-general-maintenance-180191?p=U2FsdGVkX1%252FkDIq%252BBaRtWIx2q5tDDLabhlJ1ur1qsdYQuvMNc%252F6N7g3GdlTkTaCs
15,Borge General Contracting & Electro Mechanical More Info,Abu Dhabi,"Borge General Contracting & Electro Mechanical More Info Location : 401, ADCP Tower C, Electra Street City : Abu Dhabi P.O Box : 109063 Phone : 02 66... 02 6656898 Mobile : 050 9 ... 050 9116778 Products & Services : Electromechanical Contractors",26656898.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/borge-general-contracting-electro-mechanical-194299?p=U2FsdGVkX1%252BFaxFV4zmaCIL4%252Bws46l9gnYohS3etDnuYyachHCJJybX2rsZ7wVXi
16,Blue Triangle Electromechanical Contracting LLC More Info,Abu Dhabi,"Blue Triangle Electromechanical Contracting LLC More Info Location : Airport Road City : Abu Dhabi P.O Box : 113161 Phone : 02 58... 02 5833860 Mobile : 056 4 ... 056 4601460 Products & Services : Electromechanical Contractors , HVAC Contractors , MEP Contractors , Read More... Brands : APCOFLEX AC Spare Parts | MITSUBISHI AC Spare Parts | CARRIER Air Conditioner And Spare Parts | Read More...",25833860.0,MEP,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/blue-triangle-electromechanical-contracting-llc-188293?p=U2FsdGVkX19seDgMU9ix%252FRoe%252FvLqtONB9iKheo%252BgCK0gV%252BOZVc11%252FBeTwqXaz05J
17,Dolphin Euro Electromechanical Contracting LLC More Info,Abu Dhabi,Dolphin Euro Electromechanical Contracting LLC More Info City : Abu Dhabi P.O Box : 114815 Phone : 02 63... 02 6323626 Mobile : 055 1 ... 055 1529606 Products & Services : Electromechanical Contractors,26323626.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/dolphin-euro-electromechanical-contracting-llc-195697?p=U2FsdGVkX1%252BNGCjssUq5hos11isbS6Ryn6RSAs7s%252BxITrTVEUFVSBGI5HwOllJvI
18,Al Inayah Electro-mechanical Works LLC More Info,Abu Dhabi,"Al Inayah Electro-mechanical Works LLC More Info Location : 105-106, 1st Flr, Old JVC Bldg, Opp Etisalat, Airport Rd City : Abu Dhabi P.O Box : 71611 Phone : 02 63... 02 6337921 Products & Services : Electromechanical Contractors , MEP Contractors , Air Conditioning Contractors , Read More...",26337921.0,MEP,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/al-inayah-electro-mechanical-works-llc-153152?p=U2FsdGVkX1%252BFhVnHpYiVtAh0y4U1hiaYaokndlxhu7eUgMvDiCzoSvIlli3%252Fpl66
19,Al Thamer Electromechanical Works LLC More Info,Dubai,"Al Thamer Electromechanical Works LLC More Info Location : Shk Ahmed Bldg, 2nd Dec Rd, Satwa City : Dubai P.O Box : 44913 Phone : 04 39... 04 3987840 Products & Services : Electromechanical Contractors , Electrical Contractors And Electricians , Contractors Electromechanical",43987840.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/al-thamer-electromechanical-works-llc-142311?p=U2FsdGVkX181pFnVedRkj%252FDAPdrLftTEagGqZwtC%252FOMWCRYNY%252FzkUx7yxjrVRRS5
20,Al Zahriah Electro Mechanical Contracting More Info,Sharjah,"Al Zahriah Electro Mechanical Contracting More Info Location : Office 1, City Tower, Abu Shagara City : Sharjah P.O Box : 20394 Phone : 06 55... 06 5535811 Products & Services : Electromechanical Contractors , Electromechanical Engineers And Consultants , Contractors Electromechanical , Read More...",65535811.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/al-zahriah-electro-mechanical-contracting-130686?p=U2FsdGVkX1%252Bz6Hd2bs1CptZ2EGILvJWeOyH5tCRjhQydfp3MUPRBbOK4AD%252FXzBst
21,Aldebaran Technical Services LLC More Info,Dubai,"Aldebaran Technical Services LLC More Info Location : Shop #5, Block R6, Sheikh Hamdan Colony, Karama City : Dubai P.O Box : 122820 Phone : 055 3... 055 3494942 Mobile : 056 1 ... 056 1885529 Products & Services : Electromechanical Contractors , Air Conditioning Contractors , Painting Contractors , Read More...",553494942.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/aldebaran-technical-services-llc-174955?p=U2FsdGVkX1%252BwwGjYKlw5g4M6fq69Q%252F3STZlF665jr8SoL%252FLOS48DEqOKLSKjy30P
22,Alyunbou MEP Contracting LLC More Info,Dubai,Alyunbou MEP Contracting LLC More Info Location : Al Qusais Industrial Area 3 City : Dubai P.O Box : 247714 Phone : 04 83... 04 8321901 Mobile : 055 2 ... 055 2101038 Products & Services : Electromechanical Contractors,48321901.0,MEP,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/alyunbou-mep-contracting-llc-198549?p=U2FsdGVkX19GHCSmgQRILjhjOFIRV87L1XKrYOFqGtpCRz494CbmIPHd%252FVb1wwcR
23,Amenco Electromechanical Work More Info,Abu Dhabi,"Amenco Electromechanical Work More Info Location : 11th Floor, Mazyad Tower 2, Mohamed Bin Zayed City City : Abu Dhabi Phone : 050 1... 050 1771244 Mobile : 050 1 ... 050 1771244 Products & Services : Electromechanical Contractors , Electromechanical Maintenance , Electromechanical Works",501771244.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/amenco-electromechanical-work-201137?p=U2FsdGVkX1%252FC9W5Ra%252Fb%252FR0eacbB4rTqR0cIV1ibKs%252F2krGMGnrruZ96OgaCXNiIN
24,Amiri Electromechanical Cont Co LLC More Info,Sharjah,"Amiri Electromechanical Cont Co LLC More Info Location : Shed 11, Bhnd Al Wahda St, Indl Area 4 City : Sharjah P.O Box : 34273 Phone : 06 53... 06 5323442 Mobile : 050 2 ... 050 2740150 Products & Services : Electromechanical Contractors , Electrical , Plumbing , Read More...",65323442.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/amiri-electromechanical-cont-co-llc-130061?p=U2FsdGVkX18iNRmf8pmWoSBEqogpD8ZIH2gPfj9uJ03qB4wnF%252FtrZChf%252FcUqO7yj
25,Basmat Alreem Electromechanical LLC More Info,Dubai,"Basmat Alreem Electromechanical LLC More Info Location : Office No.317, Block 3, Bin Shabib Mall, Baghdad Street, Al Qusais Industrial Area 1 City : Dubai Phone : 052 9... 052 9049371 Mobile : 052 1 ... 052 1144820 Products & Services : Electromechanical Contractors",529049371.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/basmat-alreem-electromechanical-llc-194407?p=U2FsdGVkX19cSEdgEQvoBEhe%252Fk5Xw6NAgU9BKWEQWflMnEdodhQ7id%252BoJJ%252FmhLoo
26,Centaur Electro Mechanical Contracting Company LLC More Info,Dubai,"Centaur Electro Mechanical Contracting Company LLC More Info Location : Office #210, 2nd Floor, Bayan Business Center, Dubai Investment Park 1 City : Dubai P.O Box : 25024 Phone : 04 35... 04 3541955 Products & Services : Electromechanical Contractors , Electromechanical Equipment , Contractors Electromechanical , Read More...",43541955.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/centaur-electro-mechanical-contracting-company-llc-144806?p=U2FsdGVkX1%252FU6rPCZKjnpqiVZDWSzC61ab6FkZHk8hrgGRRE8ULlgRC%252FEdBvxbdz
27,Chugtai Technical Services Company More Info,Dubai,"Chugtai Technical Services Company More Info Location : Al Qusais Indl Area 3 City : Dubai P.O Box : 7102 Phone : 04 26... 04 2671412 Products & Services : Electromechanical Contractors , Contractors Electromechanical",42671412.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/chugtai-technical-services-company-121899?p=U2FsdGVkX1%252BnbiepKA%252F8nDBkpM79Lfber7LKHGFzbuS1ZUztuVaAN08pm9r4x4jc
28,Circuit Plus Electromechanical Contracting LLC More Info,Abu Dhabi,"Circuit Plus Electromechanical Contracting LLC More Info Location : Office No. 1104, ADCP Tower-D, Behind City Seasons Hotel, Electra Street, Al Danah, Zone 1 City : Abu Dhabi Phone : 02 67... 02 6799373 Mobile : 056 4 ... 056 4985794 Products & Services : Electromechanical Contractors , MEP Contractors , HVAC Contractors , Read More...",26799373.0,MEP,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/circuit-plus-electromechanical-contracting-llc-195956?p=U2FsdGVkX18etbWtcJ0KsrImxqhILJ4ckF9L6Gb2u28yNJTMiLhhXv%252FoeEn7MHUQ
29,Daar Al Taaqa Technical Works More Info,Abu Dhabi,"Daar Al Taaqa Technical Works More Info Location : 12, M32/1, Near Malayalam Samaj, Musaffah City : Abu Dhabi Mobile : 050 2 ... 050 2104144 Products & Services : Electromechanical Contractors , Air Conditioning Contractors , MEP Contractors , Read More...",502104144.0,MEP,100.0,HIGH,2,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/daar-al-taaqa-technical-works-180247?p=U2FsdGVkX18fr0kmKdkgoHvigPzt6IfIVYe3nUHOX0Leid27z3Tc9IQmkAl3VeJV
30,Daikin Middle East and Africa FZE More Info,Dubai,"Daikin Middle East and Africa FZE More Info Location : 11th Floor, Galleries 4, Jebel Ali Down Town City : Dubai P.O Box : 18674 Phone : 04 81... 04 8159300 Mobile : 056 7 ... 056 7367536 Products & Services : Electromechanical Contractors , Air Conditioning Contractors , Domestic and Commercial Chillers , Read More...",48159300.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/daikin-middle-east-and-africa-fze-176122?p=U2FsdGVkX19mXexdq79evPjysLvlaBBQUgNSJiSgYB2ULepY3H6ba2N5VElU%252FODf
31,Datco International Electromechanical Works Contracting LLC More Info,Dubai,Datco International Electromechanical Works Contracting LLC More Info City : Dubai P.O Box : 11155 Phone : 050 5... 050 5904198 Mobile : 050 4 ... 050 4663987 Products & Services : Electromechanical Contractors,505904198.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=2,/datco-international-electromechanical-works-contracting-llc-192072?p=U2FsdGVkX1%252F3kTGR%252BHPvcSOAXPTD1rSe2cgRJ9xsR0uz5NAT1kBh%252FrbDqKec27QX
32,Power Logic Electro Mechanical LLC More Info,Abu Dhabi,"Power Logic Electro Mechanical LLC More Info Location : Office 04, ME-10, Shabiya Near UAE Exchange City : Abu Dhabi P.O Box : 110348 Phone : 02 55... 02 5519720 Products & Services : Electromechanical Contractors , Electromechanical Engineers And Consultants , Cable Laying Contractors , Read More...",25519720.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=3,/power-logic-electro-mechanical-llc-153631?p=U2FsdGVkX190q4kwZXB%252B%252BLbMEsjSLmzuLlrI7YzaVLMLvHmBP9Esb87o5FefH3Z0
33,Power Spray Electromechanical Sole Proprietorship LLC More Info,Abu Dhabi,"Power Spray Electromechanical Sole Proprietorship LLC More Info Location : Suite No. 902, 9th Floor, Al Masraf Bank Building City : Abu Dhabi P.O Box : 29276 Phone : 02 44... 02 4444650 Products & Services : Electromechanical Contractors",24444650.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=3,/power-spray-electromechanical-sole-proprietorship-llc-192225?p=U2FsdGVkX1%252F%252FE%252B3LKxH7NXl9Y94slD4Yl2VjCGGKGEcR4PN00lhRgBhDOO%252BB6ClV
34,Sayed Fayyaz Hussain Technical Services LLC More Info,Dubai,"Sayed Fayyaz Hussain Technical Services LLC More Info Location : Near To Golden Square Hotel, Al-Nakheel Road, Deira City : Dubai P.O Box : 381049 Phone : 055 5... 055 5667214 Products & Services : Electromechanical Contractors , Painters And Painting Contractors , Plumbing And Sanitary Contractors , Read More...",555667214.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=3,/sayed-fayyaz-hussain-technical-services-llc-154505?p=U2FsdGVkX18VBWcYrENpePbJ%252FOWSmaB3ou4ezH5bGWI27o99PbsYasCH2sEGlthC
35,RSK Technical Services LLC More Info,Dubai,"RSK Technical Services LLC More Info Location : Sony Building, Al Ras, Bur Dubai City : Dubai Mobile : 056 2 ... 056 2728162 Products & Services : Electromechanical Contractors , Plumbing Contractors , Electric Contractors , Read More...",562728162.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=3,/rsk-technical-services-llc-192765?p=U2FsdGVkX1%252FFM7jkL4vSZQh%252BFyvDMoAnPyj8%252B3cobm4I%252F69KbaWC2KmVACm6UL53
36,Scan Electromechanical Contracting Company LLC More Info,Sharjah,"Scan Electromechanical Contracting Company LLC More Info Location : Scan Electromechanical Building, Behind Tuba Intl, Indl Area No 5 City : Sharjah P.O Box : 31599 Phone : 06 54... 06 5422773 Products & Services : Electromechanical Contractors , Cable Laying Contractors , Contractors Electromechanical , Read More... Brands : MCCLOSKEY HDD",65422773.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=3,/scan-electromechanical-contracting-company-llc-128089?p=U2FsdGVkX1%252FblNSt6G875EnJkgKe%252F8DdYlkXNdIadZVEQsaLpZXTp4gXcAxL8U3%252F
37,Silver Lake Electromechanical Works LLC More Info,Abu Dhabi,"Silver Lake Electromechanical Works LLC More Info Location : Mussafah 34 City : Abu Dhabi P.O Box : 89144 Phone : 050 6... 050 6723547 Mobile : 050 1 ... 050 1119028 Products & Services : Electromechanical Contractors , AC Contractors , Air Conditioning Contractors , Read More...",506723547.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=4,/silver-lake-electromechanical-works-llc-154114?p=U2FsdGVkX18XIxtjKYeZEMR3DM8Rl3k7HZ3uRVcBU6z7Q1%252FY7KUh%252FMytTxolYvPB
38,Pathak Middle East Electromechanical LLC More Info,Dubai,"Pathak Middle East Electromechanical LLC More Info Location : 705, Damac Business Tower, Business Bay City : Dubai P.O Box : 89350 Phone : 04 35... 04 3586520 Products & Services : Electromechanical Contractors , Electromechanical Engineers And Consultants , Fitout Contractors , Read More...",43586520.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=3,/pathak-middle-east-electromechanical-llc-18460?p=U2FsdGVkX1%252BtLgfG0axyKNG4ZWpRU%252FiTbzzzKjD%252Bw4Ew8Mu0f7WZxaM6%252FWGfRbB7
39,New Age Technology LLC More Info,Abu Dhabi,"New Age Technology LLC More Info Location : M1, Concord Salon Bldg, Khalidiya City : Abu Dhabi P.O Box : 42355 Phone : 02 66... 02 6662004 Mobile : 050 7 ... 050 7868158 Products & Services : Electromechanical Contractors , Contractors Electromechanical , CCTV , Read More...",26662004.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=3,/new-age-technology-llc-153523?p=U2FsdGVkX1%252FHhLJiKWQXHaCfcA9G7L58geLAVEAAQUqgU7w3DIAX6aNH7%252FRuTSmc
40,Streamline Electromechanical Works LLC More Info,Dubai,"Streamline Electromechanical Works LLC More Info Location : Warehouse No. 6, Opp Tasjeel, Al Qusais Industrial Area 5 City : Dubai P.O Box : 14749 Phone : 04 28... 04 2838414 Mobile : 050 4 ... 050 4510865 Products & Services : Electromechanical Contractors , MEP Contractors , Electrical Contractors , Read More...",42838414.0,MEP,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=4,/streamline-electromechanical-works-llc-177663?p=U2FsdGVkX18TKN2Q4hp1qJNCeDFY5WHa%252FqptiOqSR8ZQR09TVBftx7sKdstg1YZh
41,Stars Electro Mechanical Cont Co LLC More Info,Abu Dhabi,"Stars Electro Mechanical Cont Co LLC More Info Location : Mussafah 15 City : Abu Dhabi P.O Box : 25480 Phone : 02 20... 02 2079888 Mobile : 056 5 ... 056 5259665 Products & Services : Electromechanical Contractors , Plumbing Contractors , Contractors Electromechanical , Read More...",22079888.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=4,/stars-electro-mechanical-cont-co-llc-172428?p=U2FsdGVkX198FZ4r088kMeGazEgpyS23j1lND%252BjTdjUidF5IEK8F06e2JLDh3Z9N
42,Sun Shine Technical Works LLC More Info,Dubai,"Sun Shine Technical Works LLC More Info Location : Office # 206, City Avenue Bldg, Opp to City Center, Deira City : Dubai P.O Box : 93907 Phone : 04 26... 04 2695808 Mobile : 054 4 ... 054 4043189 Products & Services : Electromechanical Contractors",42695808.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=4,/sun-shine-technical-works-llc-181369?p=U2FsdGVkX1%252Buu4zmjTMP4C3DOI98wrYOTbxvXmAufAjBzKGKhGmxxF5%252Fk2vX7tu4
43,Swift Tech Electromechanical Contracting More Info,Abu Dhabi,"Swift Tech Electromechanical Contracting More Info Location : Office 10, Plot No.8, Mussafah M17 City : Abu Dhabi Phone : 050 9... 050 9623022 Products & Services : Electromechanical Contractors",509623022.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=4,/swift-tech-electromechanical-contracting-191853?p=U2FsdGVkX18nOydsYFQ0V6nnx1%252FlbM6cgFrbf8sU%252FYY%252BwmYK7pDUcDYm63fBXkLg
44,Global Petromac Project LLC More Info,Abu Dhabi,"Global Petromac Project LLC More Info Location : Elite Business Zone, Mussafah 44 City : Abu Dhabi P.O Box : 111395 Phone : 02 55... 02 5525002 Mobile : 050 5 ... 050 5163356 Products & Services : Electromechanical Contractors , Electrical Contractors , Construction Company , Read More...",25525002.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=3,/global-petromac-project-llc-196479?p=U2FsdGVkX1%252Ftq17OEU2V4qFUb%252FcnYER2MiMPE4G5HtdxvhoDdwHc%252FJZZPGFpyEDu
45,Goodwill Buildings Maintenance LLC More Info,Abu Dhabi,"Goodwill Buildings Maintenance LLC More Info Location : Office Number 1140, Mazyed Mall, Mohamed Bin Zayed City City : Abu Dhabi Mobile : 056 8 ... 056 8044072 Products & Services : Electromechanical Contractors , Electromechanical Maintenance , General Maintenances",568044072.0,Electromechanical,100.0,HIGH,3,https://www.yellowpages-uae.com/uae/electromechanical-contractors?page=3,/goodwill-buildings-maintenance-llc-199091?p=U2FsdGVkX1%252FG5ftHA6%252BaxDxEdmlKfcRRvo3QfNtGDEHw5F5uPh6y%252FY%252BId0rYY3mH
